Target,Feature,Source Depth,Importance,Model
moisture 50cm,vpd,moisture 10,0.020069332509826013,rf21
moisture 50cm,amnt_precp,moisture 10,0.004861171374593989,rf21
moisture 50cm,moisture_20cm,moisture 20,0.7718179197108672,rf22
moisture 50cm,temperature_c,moisture 20,0.08821235753360453,rf22
moisture 50cm,humidity_percent,moisture 20,0.048270108569856175,rf22
moisture 50cm,wind_speed_max2,moisture 20,0.026177909184993946,rf22
moisture 50cm,wind_speed,moisture 20,0.023781153721536847,rf22
moisture 50cm,radiation,moisture 20,0.015433469921977893,rf22
moisture 50cm,leaf_wet,moisture 20,0.01542948623337072,rf22
moisture 50cm,vpd,moisture 20,0.008364980894755137,rf22
moisture 50cm,amnt_precp,moisture 20,0.0025126142290375205,rf22
moisture 50cm,moisture_30cm,moisture 30,0.8677007855159086,rf23
moisture 50cm,temperature_c,moisture 30,0.056094786077435996,rf23
moisture 50cm,humidity_percent,moisture 30,0.025303887464531046,rf23
moisture 50cm,wind_speed,moisture 30,0.014040390390322472,rf23
moisture 50cm,wind_speed_max2,moisture 30,0.011708874457220735,rf23
moisture 50cm,radiation,moisture 30,0.01009105163059361,rf23
moisture 50cm,vpd,moisture 30,0.0072726837124803614,rf23
moisture 50cm,leaf_wet,moisture 30,0.006297119259258624,rf23
moisture 50cm,amnt_precp,moisture 30,0.0014904214922484714,rf23
moisture 50cm,moisture_40cm,moisture 40,0.917822041114386,rf24
moisture 50cm,temperature_c,moisture 40,0.03180665257315903,rf24
moisture 50cm,humidity_percent,moisture 40,0.01671734028199395,rf24
moisture 50cm,wind_speed_max2,moisture 40,0.00785349237067555,rf24
moisture 50cm,radiation,moisture 40,0.007330770113295426,rf24
moisture 50cm,wind_speed,moisture 40,0.006366356088835083,rf24
moisture 50cm,leaf_wet,moisture 40,0.0061170148040162525,rf24
moisture 50cm,vpd,moisture 40,0.004560157334733405,rf24
moisture 50cm,amnt_precp,moisture 40,0.0014261753189052091,rf24
moisture 50cm,moisture_60cm,moisture 60,0.9219298821266273,rf25
moisture 50cm,temperature_c,moisture 60,0.037097826781115166,rf25
moisture 50cm,humidity_percent,moisture 60,0.014276321324508404,rf25
moisture 50cm,wind_speed_max2,moisture 60,0.006065395704999208,rf25
moisture 50cm,leaf_wet,moisture 60,0.005835026620148824,rf25
moisture 50cm,wind_speed,moisture 60,0.004565349964231246,rf25
moisture 50cm,radiation,moisture 60,0.00456088137765251,rf25
moisture 50cm,vpd,moisture 60,0.004559063569016686,rf25
moisture 50cm,amnt_precp,moisture 60,0.0011102525317006522,rf25
moisture 60cm,moisture_10cm,moisture 10,0.5871115328422805,rf26
moisture 60cm,temperature_c,moisture 10,0.16181039946369877,rf26
moisture 60cm,humidity_percent,moisture 10,0.09886185821832498,rf26
moisture 60cm,wind_speed_max2,moisture 10,0.04193149483799487,rf26
moisture 60cm,radiation,moisture 10,0.036169016288913274,rf26
moisture 60cm,wind_speed,moisture 10,0.030378872882917952,rf26
moisture 60cm,vpd,moisture 10,0.023312644656147217,rf26
moisture 60cm,leaf_wet,moisture 10,0.013820274462389653,rf26
moisture 60cm,amnt_precp,moisture 10,0.006603906347332875,rf26
moisture 60cm,moisture_20cm,moisture 20,0.7252439625453171,rf27
moisture 60cm,temperature_c,moisture 20,0.09990584442321697,rf27
moisture 60cm,humidity_percent,moisture 20,0.05477925598326316,rf27
moisture 60cm,wind_speed_max2,moisture 20,0.032133815624173716,rf27
moisture 60cm,wind_speed,moisture 20,0.026184663340048885,rf27
moisture 60cm,leaf_wet,moisture 20,0.023975755130825525,rf27
moisture 60cm,radiation,moisture 20,0.02178059964306964,rf27
moisture 60cm,vpd,moisture 20,0.01121657017233287,rf27
moisture 60cm,amnt_precp,moisture 20,0.004779533137752092,rf27
moisture 60cm,moisture_30cm,moisture 30,0.7302993347025014,rf28
moisture 60cm,temperature_c,moisture 30,0.10934737603490559,rf28
moisture 60cm,humidity_percent,moisture 30,0.05712528535404211,rf28
moisture 60cm,wind_speed,moisture 30,0.02666079965560856,rf28
moisture 60cm,leaf_wet,moisture 30,0.02086344728036304,rf28
moisture 60cm,wind_speed_max2,moisture 30,0.020036150228784914,rf28
moisture 60cm,radiation,moisture 30,0.01848716556185291,rf28
moisture 60cm,vpd,moisture 30,0.013048688125933306,rf28
moisture 60cm,amnt_precp,moisture 30,0.00413175305600828,rf28
moisture 60cm,moisture_40cm,moisture 40,0.7719946070161344,rf29
moisture 60cm,temperature_c,moisture 40,0.08638260928870467,rf29
moisture 60cm,humidity_percent,moisture 40,0.05640678185529768,rf29
moisture 60cm,leaf_wet,moisture 40,0.02097259276804923,rf29
moisture 60cm,wind_speed_max2,moisture 40,0.01894037587713614,rf29
moisture 60cm,radiation,moisture 40,0.016183393365733316,rf29
moisture 60cm,wind_speed,moisture 40,0.016149866505333104,rf29
moisture 60cm,vpd,moisture 40,0.010293637243830592,rf29
moisture 60cm,amnt_precp,moisture 40,0.002676136079780896,rf29
moisture 60cm,moisture_50cm,moisture 50,0.9186375864905841,rf30
moisture 60cm,temperature_c,moisture 50,0.03921145502745216,rf30
moisture 60cm,humidity_percent,moisture 50,0.014544113615128558,rf30
moisture 60cm,wind_speed_max2,moisture 50,0.008141269023853264,rf30
moisture 60cm,leaf_wet,moisture 50,0.00682300550488355,rf30
moisture 60cm,radiation,moisture 50,0.004642001562949456,rf30
moisture 60cm,vpd,moisture 50,0.003563720254672852,rf30
moisture 60cm,wind_speed,moisture 50,0.0033389218419368908,rf30
moisture 60cm,amnt_precp,moisture 50,0.0010979266785391653,rf30
